season_id,episode,ep_ord,player_a,player_b,weight,event_type,format
s12_fresh_meat,2,2,Casey Cooper,Danny Jamieson,1.0,elimination,individual
s12_fresh_meat,2,2,Casey Cooper,Evelyn Smith,1.0,elimination,individual
s12_fresh_meat,3,3,Melinda Collins,Wes Bergmann,1.0,elimination,individual
s12_fresh_meat,3,3,Melinda Collins,Casey Cooper,1.0,elimination,individual
s12_fresh_meat,3,3,Ryan Kehoe,Wes Bergmann,1.0,elimination,individual
s12_fresh_meat,3,3,Ryan Kehoe,Casey Cooper,1.0,elimination,individual
s12_fresh_meat,4,4,Wes Bergmann,Melinda Collins,1.0,elimination,individual
s12_fresh_meat,4,4,Wes Bergmann,Ryan Kehoe,1.0,elimination,individual
s12_fresh_meat,4,4,Casey Cooper,Melinda Collins,1.0,elimination,individual
s12_fresh_meat,4,4,Casey Cooper,Ryan Kehoe,1.0,elimination,individual
s12_fresh_meat,5,5,Wes Bergmann,Johanna Botta,1.0,elimination,individual
s12_fresh_meat,5,5,Wes Bergmann,Jesse Stark,1.0,elimination,individual
s12_fresh_meat,5,5,Casey Cooper,Johanna Botta,1.0,elimination,individual
s12_fresh_meat,5,5,Casey Cooper,Jesse Stark,1.0,elimination,individual
s12_fresh_meat,6,6,Wes Bergmann,Johanna Botta,1.0,elimination,individual
s12_fresh_meat,6,6,Wes Bergmann,Jesse Stark,1.0,elimination,individual
s12_fresh_meat,6,6,Casey Cooper,Johanna Botta,1.0,elimination,individual
s12_fresh_meat,6,6,Casey Cooper,Jesse Stark,1.0,elimination,individual
s12_fresh_meat,7,7,Wes Bergmann,Tonya Cooley,1.0,elimination,individual
s12_fresh_meat,7,7,Wes Bergmann,Johnnie McBride,1.0,elimination,individual
s12_fresh_meat,7,7,Casey Cooper,Tonya Cooley,1.0,elimination,individual
s12_fresh_meat,7,7,Casey Cooper,Johnnie McBride,1.0,elimination,individual
s12_fresh_meat,8,8,Wes Bergmann,Tonya Cooley,1.0,elimination,individual
s12_fresh_meat,8,8,Wes Bergmann,Johnnie McBride,1.0,elimination,individual
s12_fresh_meat,8,8,Casey Cooper,Tonya Cooley,1.0,elimination,individual
s12_fresh_meat,8,8,Casey Cooper,Johnnie McBride,1.0,elimination,individual
s12_fresh_meat,9,9,Katie Cooley,Tina Barta,1.0,elimination,individual
s12_fresh_meat,9,9,Katie Cooley,Kenny Santucci,1.0,elimination,individual
s12_fresh_meat,9,9,Big Easy Banks,Tina Barta,1.0,elimination,individual
s12_fresh_meat,9,9,Big Easy Banks,Kenny Santucci,1.0,elimination,individual
s12_fresh_meat,10,10,Tina Barta,Katie Cooley,1.0,elimination,individual
s12_fresh_meat,10,10,Tina Barta,Big Easy Banks,1.0,elimination,individual
s12_fresh_meat,10,10,Kenny Santucci,Katie Cooley,1.0,elimination,individual
s12_fresh_meat,10,10,Kenny Santucci,Big Easy Banks,1.0,elimination,individual
