season_id,player,episode,game,opponent,fandom_result
s41_vets_and_new_threats,Ashley Mitchell,14,Weight Me Up,Turbo Çamkıran,L
s41_vets_and_new_threats,Ashley Mitchell,14,Weight Me Up,Sydney Segal,L
s26_battle_of_the_exes_ii,Averey Tressler,2,Banded Together,Hailey Chivers,W
s26_battle_of_the_exes_ii,Averey Tressler,2,Banded Together,Thomas Buell,W
s26_battle_of_the_exes_ii,Averey Tressler,6/7,Stacking Up,Adam Kuhn,W
s26_battle_of_the_exes_ii,Averey Tressler,6/7,Stacking Up,Brittany Baldi,W
s26_battle_of_the_exes_ii,Averey Tressler,7,Hooking Up,Leroy Garrett,L
s26_battle_of_the_exes_ii,Averey Tressler,7,Hooking Up,Nia Moore,L
s40_battle_of_the_eras,Averey Tressler,3,One Step at a Time,Jodi Weatherton,W
s40_battle_of_the_eras,Averey Tressler,8,Fate of the Gladiators,Rachel Robinson,L
s12_fresh_meat,Aviv Melmed,15,Forest Course,Derrick Kosinski,W
s12_fresh_meat,Aviv Melmed,15,Forest Course,Diem Brown,W
s40_battle_of_the_eras,Aviv Melmed,15,Iron Triangle,Jenny West,L
s41_vets_and_new_threats,Aviv Melmed,11,Pull It Together,Jonna Mannion,W
s41_vets_and_new_threats,Aviv Melmed,11,Pull It Together,Gabe Wai,W
s41_vets_and_new_threats,Aviv Melmed,16,Tight Quarters,Michaela Bradshaw,L
s41_vets_and_new_threats,Aviv Melmed,16,Tight Quarters,Cedric Hodges,L
s20_cutthroat,Ayiiia Elizarrarás,4,Swat,Katie Cooley,L
s35_total_madness,Bayleigh Dayton,14,Knots of War,Aneesa Ferreira,W
s41_vets_and_new_threats,Ben Davis,5,Him Collider,Derek Chavez,L
s37_spies_lies_allies,Berna Canbeldek,3,Slipping Up,Tacha Akide,W
s37_spies_lies_allies,Berna Canbeldek,8,Race to Escape,Jeremiah White,L
s37_spies_lies_allies,Berna Canbeldek,8,Race to Escape,Priscilla Anyabu,L
s11_the_gauntlet_2,Beth Stolarczyk,7,Reverse Tug-O-War,Ruthie Alcaide,W
s11_the_gauntlet_2,Beth Stolarczyk,9,Reverse Tug-O-War,Montana McGlynn,W
s13_the_duel,Beth Stolarczyk,8,Push Me,Svetlana Shusterman,?
s15_the_gauntlet_iii,Beth Stolarczyk,5,Ball Brawl,Coral Smith,L
s37_spies_lies_allies,Bettina Buchanan,9,Hang in the Balance,Amber Borzotra,W
s37_spies_lies_allies,Bettina Buchanan,9,Hang in the Balance,Jeremiah White,W
s37_spies_lies_allies,Bettina Buchanan,12,Bombs Away,Emy Alupei,L
s12_fresh_meat,Big Easy Banks,10,Beach Course,Tina Barta,L
s12_fresh_meat,Big Easy Banks,10,Beach Course,Kenny Santucci,L
s13_the_duel,Big Easy Banks,7,I Can,Nehemiah Clark,W
s13_the_duel,Big Easy Banks,11,Pole Wrestle,Brad Fiorenza,L
s17_the_duel_ii,Big Easy Banks,6,Duel Pole Dancing,Derek McCray,L
s20_cutthroat,Big Easy Banks,3,Die Hard,Vinny Foti,W
s20_cutthroat,Big Easy Banks,4,Swat,Luke Wolfe,L
s23_battle_of_the_seasons_2012,Big Easy Banks,1,Hall Brawl,Lacey Buehler,W
s23_battle_of_the_seasons_2012,Big Easy Banks,1,Hall Brawl,Wes Bergmann,W
s23_battle_of_the_seasons_2012,Big Easy Banks,2,Balls Out,Danny Jamieson,W
s23_battle_of_the_seasons_2012,Big Easy Banks,2,Balls Out,Melinda Collins,W
s23_battle_of_the_seasons_2012,Big Easy Banks,5,Water Torture,Devyn Simone,?
s23_battle_of_the_seasons_2012,Big Easy Banks,5,Water Torture,JD Ordoñez,?
s34_war_of_the_worlds_2,Big T Fazakerley,2,Firestarter,Georgia Harrison,L
s36_double_agents,Big T Fazakerley,15,Fire Escape,Aneesa Ferreira,W
s36_double_agents,Big T Fazakerley,16,Hall Brawl,Amber Borzotra,L
s37_spies_lies_allies,Big T Fazakerley,14,Vault Escape,Amanda Garcia,L
s37_spies_lies_allies,Big T Fazakerley,16,License to Chill,Emy Alupei,L
s39_battle_for_a_new_champion,Big T Fazakerley,1,Fall Out,Jessica Brody,W
s39_battle_for_a_new_champion,Big T Fazakerley,6,Loaded Barrel,Kaz Crossley,W
s39_battle_for_a_new_champion,Big T Fazakerley,8,Pole in the Storm,Kaycee Clark,L
s41_vets_and_new_threats,Blue Kim,2,Laser Focus,Tay Wilcoxson,L
s10_the_inferno_ii,Brad Fiorenza,10,Balls In,Abram Boise,L
s11_the_gauntlet_2,Brad Fiorenza,14,Name That Coconut,Derrick Kosinski,L
s13_the_duel,Brad Fiorenza,11,Pole Wrestle,Big Easy Banks,W
s13_the_duel,Brad Fiorenza,15,Push Me,CT Tamburello,W
s17_the_duel_ii,Brad Fiorenza,10,Duel Pole Dancing,MJ Garrett,W
s17_the_duel_ii,Brad Fiorenza,10,Back Off,Landon Lueck,W
s31_vendettas,Brad Fiorenza,7,Troubled Water,Victor Arroyo,W
s31_vendettas,Brad Fiorenza,11,Yankin' My Chain,Frank Fox,W
s31_vendettas,Brad Fiorenza,13,Head Banger,Leroy Garrett,L
s32_final_reckoning,Brad Fiorenza,12,Tread Lightly,Nelson Thomas,L
s32_final_reckoning,Brad Fiorenza,12,Tread Lightly,Shane Landrum,L
s40_battle_of_the_eras,Brad Fiorenza,6,To the Point,Cory Wharton,L
s20_cutthroat,Brandon Nelson,1,Handcuffs,Derek Chavez,W
s20_cutthroat,Brandon Nelson,2,Back Up Off Me,JD Ordoñez,W
s20_cutthroat,Brandon Nelson,5,Pole Me Over,Ty Ruff,W
s20_cutthroat,Brandon Nelson,6,Handcuffs,Derrick Kosinski,L
s21_rivals,Brandon Nelson,4,Going Up,Kenny Santucci,L
s21_rivals,Brandon Nelson,4,Going Up,Wes Bergmann,L
s23_battle_of_the_seasons_2012,Brandon Nelson,3,Knot So Fast,Chet Cannon,L
s23_battle_of_the_seasons_2012,Brandon Nelson,3,Knot So Fast,Sarah Rice,L
s25_free_agents,Brandon Nelson,4,Oppenheimer,Zach Nichols,L
s40_battle_of_the_eras,Brandon Nelson,2,Take Shelter,Ryan Kehoe,L
s25_free_agents,Brandon Swift,6,Looper,Jordan Wiseley,L
s30_xxx_dirty_30,Briana LaCuesta,3,Balls to the Wall,Britni Thornton,L
s18_the_ruins,Brianna Taylor,3,Burnout,Susie Meister,L
s30_xxx_dirty_30,Britni Thornton,3,Balls to the Wall,Briana LaCuesta,W
s30_xxx_dirty_30,Britni Thornton,9,Rampage,Nicole Ramos,W
s30_xxx_dirty_30,Britni Thornton,14,The Reel World,Camila Nakagawa,L
s31_vendettas,Britni Thornton,11,Yankin' My Chain,Laurel Stucky,L
s26_battle_of_the_exes_ii,Brittany Baldi,1,Pole Position,Dustin Zito,W
s26_battle_of_the_exes_ii,Brittany Baldi,1,Pole Position,Jessica McCain,W
s26_battle_of_the_exes_ii,Brittany Baldi,3,"He Said, She Said",John Jacobs,W
s26_battle_of_the_exes_ii,Brittany Baldi,3,"He Said, She Said",Simone Kelly,W
s26_battle_of_the_exes_ii,Brittany Baldi,4,Breaking Up,Jemmye Carroll,W
s26_battle_of_the_exes_ii,Brittany Baldi,4,Breaking Up,Ryan Knight,W
s26_battle_of_the_exes_ii,Brittany Baldi,6/7,Stacking Up,Averey Tressler,L
s26_battle_of_the_exes_ii,Brittany Baldi,6/7,Stacking Up,Johnny Reilly,L
s17_the_duel_ii,Brittini Sherrod,3,Back Off,Brooke LaBarbera,W
s17_the_duel_ii,Brittini Sherrod,10,Push Over,Diem Brown,W
s15_the_gauntlet_iii,Brooke LaBarbera,3,Ball Brawl,Jillian Zoboroski,L
s17_the_duel_ii,Brooke LaBarbera,3,Back Off,Brittini Sherrod,L
s19_fresh_meat_ii,CJ Koegel,6,Weight for Me,Landon Lueck,L
s19_fresh_meat_ii,CJ Koegel,6,Weight for Me,Carley Johnson,L
s23_battle_of_the_seasons_2012,CJ Koegel,8,Hall Brawl,Sam McGinn,L
s23_battle_of_the_seasons_2012,CJ Koegel,8,Hall Brawl,Zach Nichols,L
s08_the_inferno,CT Tamburello,10,Don't Toss Your Cookies,Shane Landrum,W
s13_the_duel,CT Tamburello,13,Ascender,Evan Starkman,W
s13_the_duel,CT Tamburello,15,Push Me,Brad Fiorenza,?
s21_rivals,CT Tamburello,6,Rail Slide,Evan Starkman,W
s21_rivals,CT Tamburello,6,Rail Slide,Nehemiah Clark,W
s21_rivals,CT Tamburello,8/9,T-Bone,Johnny Bananas,L
s21_rivals,CT Tamburello,8/9,T-Bone,Tyler Duckworth,L
s25_free_agents,CT Tamburello,11,Wrecking Wall,Leroy Garrett,W
s25_free_agents,CT Tamburello,11,Puzzle Pyramid,Johnny Bananas,L
s29_invasion_of_the_champions,CT Tamburello,12/13,Knot So Fast,Darrell Taylor,W
s33_war_of_the_worlds,CT Tamburello,4,Ring Tossed,JP Andrade,L
s35_total_madness,CT Tamburello,3,Take Shelter,Jay Starrett,L
s36_double_agents,CT Tamburello,12,Dead Ringer,Josh Martinez,W
s40_battle_of_the_eras,CT Tamburello,5,Getting Hammered,Nehemiah Clark,L
s41_vets_and_new_threats,CT Tamburello,8,Pole Wrestle,Derek Chavez,W
s41_vets_and_new_threats,CT Tamburello,10,Busting Balls,Theo Campbell,L
s41_vets_and_new_threats,CT Tamburello,10,Busting Balls,Adrienne Naylor,L
s39_battle_for_a_new_champion,Callum Izzard,7,Totally Mental,Devin Walker,L
s20_cutthroat,Camila Nakagawa,1,Handcuffs,Emilee Fitzpatrick,W
s20_cutthroat,Camila Nakagawa,5,Pole Me Over,Katie Cooley,W
s20_cutthroat,Camila Nakagawa,7,Die Hard,Laurel Stucky,L
s21_rivals,Camila Nakagawa,3,Door Jam,Cara Maria Sorbello,L
s21_rivals,Camila Nakagawa,3,Door Jam,Laurel Stucky,L
s22_battle_of_the_exes,Camila Nakagawa,9,X Battle,Mark Long,W
s22_battle_of_the_exes,Camila Nakagawa,9,X Battle,Robin Hibbard,W
s23_battle_of_the_seasons_2012,Camila Nakagawa,2,Balls Out,Danny Jamieson,W
s23_battle_of_the_seasons_2012,Camila Nakagawa,2,Balls Out,Melinda Collins,W
s23_battle_of_the_seasons_2012,Camila Nakagawa,5,Water Torture,Devyn Simone,?
s23_battle_of_the_seasons_2012,Camila Nakagawa,5,Water Torture,JD Ordoñez,?
s24_rivals_ii,Camila Nakagawa,6,Catch-22,Jasmine Reynaud,W
s24_rivals_ii,Camila Nakagawa,6,Catch-22,Theresa Jones,W
s24_rivals_ii,Camila Nakagawa,10/11,Hanging by a Thread,Aneesa Ferreira,W
s24_rivals_ii,Camila Nakagawa,10/11,Hanging by a Thread,Diem Brown,W
s25_free_agents,Camila Nakagawa,6,Looper,Theresa Jones,L
s29_invasion_of_the_champions,Camila Nakagawa,12,Knot So Fast,Laurel Stucky,W
s30_xxx_dirty_30,Camila Nakagawa,13,Body Check,Jemmye Carroll,W
s30_xxx_dirty_30,Camila Nakagawa,14,The Reel World,Britni Thornton,W
s19_fresh_meat_ii,Cara Maria Sorbello,1,Lost and Found,Jillian Zoboroski,L
s19_fresh_meat_ii,Cara Maria Sorbello,1,Lost and Found,Pete Connolly,L
s20_cutthroat,Cara Maria Sorbello,2,Back Up Off Me,Mandi Moyer,W
s21_rivals,Cara Maria Sorbello,3,Door Jam,Camila Nakagawa,W
