player,gender,era_total,era_daily,era_elim,era_within,era_field
Ravyn Rochelle,F,0.25,1.16,0.0,0.17,0.0
Renan Hellemans,M,0.0,0.9,0.0,0.0,0.0
Robin Hibbard,F,0.15,0.42,0.25,0.12,1.16
Rogan O'Connor,M,1.43,0.78,1.61,1.2,1.85
Roni Martin,F,0.82,0.33,0.8,1.18,0.66
Ruthie Alcaide,F,1.38,1.91,1.25,1.44,1.46
Ryan Kehoe,M,0.74,2.58,1.24,0.68,0.0
Sam Bird,M,0.0,0.55,0.01,0.0,0.0
Sam McGinn,F,0.59,0.0,0.54,0.98,0.66
Sandy Kang,F,0.0,0.07,0.0,0.0,0.0
Sarah Greyson,F,0.86,0.6,1.06,1.19,0.66
Sarah Rice,F,2.36,0.1,3.74,2.81,3.39
Sean Duffy,M,0.85,0.51,0.9,1.07,0.69
Shane Landrum,M,1.29,2.19,2.19,1.45,0.0
Shane Raines,M,0.0,0.0,0.0,0.0,0.08
Shauvon Torres,F,0.0,0.62,0.0,0.0,0.0
Simone Kelly,F,0.0,0.22,0.0,0.0,0.0
Sophia Pasquis,F,0.83,0.76,0.56,0.93,0.91
Stephen Bear,M,0.0,0.0,0.14,0.03,0.0
Stephen Buell,M,0.54,0.66,0.61,0.44,0.24
Stephen Williams,M,0.0,0.24,0.0,0.03,0.0
Steve Meinke,M,0.0,0.21,0.0,0.0,0.0
Steven Hill,M,0.0,0.0,1.21,0.0,0.0
Susie Meister,F,1.28,0.97,1.44,1.06,1.21
Svetlana Shusterman,F,0.98,0.68,1.6,0.56,1.11
Swaggy C Williams,M,0.0,0.3,0.0,0.04,0.0
Sydney Segal,F,0.75,0.57,0.8,0.24,0.92
Sydney Walker,F,0.25,0.35,0.29,0.33,0.01
Sylvia Elsrode,F,1.58,1.56,1.78,1.79,0.71
Syrus Yarbrough,M,0.0,0.47,0.02,0.0,0.0
Tacha Akide,F,0.0,0.68,0.0,0.0,0.0
Tamara Alfaro,F,0.0,0.58,0.0,0.0,0.0
Tara McDaniel,F,0.34,0.52,0.35,0.16,0.54
Tay Wilcoxson,F,0.12,0.18,0.21,0.0,0.0
Theo Campbell,M,1.73,1.1,1.78,2.36,1.94
Theo Gantt,M,0.17,0.1,0.59,0.14,0.0
Theo King-Bradley,M,0.0,0.5,0.0,0.0,0.0
Theo von Kurnatowski,M,2.17,1.4,3.44,1.87,2.05
Theresa Jones,F,0.1,0.7,0.0,0.22,0.13
Thomas Buell,M,0.0,0.82,0.0,0.0,0.0
Timmy Beggy,M,0.99,1.23,0.35,0.68,1.69
Tina Barta,F,1.25,0.95,2.1,1.38,1.46
Tommy Bracco,M,0.0,0.48,0.0,0.0,0.0
Tony Raines,M,0.87,2.04,1.01,0.84,0.08
Tonya Cooley,F,0.77,1.96,0.66,2.36,0.57
Tori Deal,F,3.02,1.51,5.06,3.04,4.28
Tori Hall,F,1.48,0.42,0.92,2.52,1.3
Tracy Candela,F,0.0,0.8,0.0,0.0,0.0
Trey Weatherholtz,M,0.0,0.2,0.0,0.0,0.0
Trishelle Cannatella,F,0.61,0.0,1.44,0.85,0.97
Turbo Çamkıran,M,2.28,1.86,2.2,3.96,2.08
Ty Ruff,M,0.32,0.25,0.46,0.16,0.45
Tyler Duckworth,M,1.76,0.91,2.61,1.85,1.56
Tyri Ballard-Brown,M,0.0,0.15,0.0,0.0,0.0
Veronica Portillo,F,1.17,1.34,0.53,2.6,0.81
Vince Gliatta,M,0.45,0.0,0.45,0.51,0.84
Vinny Foti,M,0.0,0.69,0.0,0.0,0.0
Wes Bergmann,M,6.03,5.57,5.45,8.81,5.41
Yeremi Hykel,M,1.0,0.45,1.4,1.43,0.94
Zach Nichols,M,2.54,1.1,1.98,3.73,3.78
Zara Zoffany,F,0.24,0.63,0.04,0.25,0.0
