season_id,player,opponent,our_result
s38_ride_or_dies,Faysal Shafaat,Jordan Wiseley,W
s38_ride_or_dies,Jordan Wiseley,Faysal Shafaat,L
s38_ride_or_dies,Moriah Jade,Aneesa Ferreira,W
s39_battle_for_a_new_champion,Berna Canbeldek,Michele Fitzgerald,W
s39_battle_for_a_new_champion,Ed Eason,Jay Starrett,L
s39_battle_for_a_new_champion,Jay Starrett,Ed Eason,W
s39_battle_for_a_new_champion,Michele Fitzgerald,Berna Canbeldek,L
s40_battle_of_the_eras,Aviv Melmed,Rachel Robinson,L
s40_battle_of_the_eras,Cory Wharton,Jordan Wiseley,L
s40_battle_of_the_eras,Derek Chavez,Jordan Wiseley,L
s40_battle_of_the_eras,Johnny Bananas,Kyland Young,L
s40_battle_of_the_eras,Jordan Wiseley,Cory Wharton,W
s40_battle_of_the_eras,Jordan Wiseley,Derek Chavez,W
s40_battle_of_the_eras,Kyland Young,Johnny Bananas,W
s40_battle_of_the_eras,Kyland Young,Theo Campbell,W
s40_battle_of_the_eras,Michele Fitzgerald,Tori Deal,L
s40_battle_of_the_eras,Michele Fitzgerald,Rachel Robinson,L
s40_battle_of_the_eras,Rachel Robinson,Aviv Melmed,W
s40_battle_of_the_eras,Rachel Robinson,Michele Fitzgerald,W
s40_battle_of_the_eras,Theo Campbell,Kyland Young,L
s40_battle_of_the_eras,Tori Deal,Michele Fitzgerald,W
